Cluster, Group,Age,Expected Course Duration,Interest,Qualification,Course ID,Gender
3,15-25,25,7,4,2,30,0
1,25-35,35,8,4,3,11,1
3,25-35,35,8,5,3,32,0
2,35-45,45,6,3,4,10,1
3,45-55,55,9,5,5,17,1
3,25-35,35,7,4,1,29,0
3,15-25,25,7,5,0,30,1
2,25-35,35,13,5,4,21,0
3,25-35,35,9,4,3,1,1
2,15-25,25,12,4,5,4,1
3,15-25,25,6,4,3,20,1
2,25-35,35,8,3,4,11,0
2,35-45,45,8,5,4,3,1
2,35-45,45,12,3,4,8,1
2,35-45,45,8,4,5,3,0
3,25-35,35,8,4,3,11,0
3,15-25,25,7,4,2,29,0
2,45-55,55,10,3,4,38,0
3,15-25,25,7,4,2,30,0
3,15-25,25,9,2,3,17,1
3,25-35,35,8,4,3,40,1
3,15-25,25,10,4,4,9,0
1,25-35,35,10,3,3,41,0
3,25-35,35,8,4,3,3,1
3,25-35,35,11,4,3,44,0
3,45-55,55,10,5,5,41,0
3,35-45,45,9,5,5,53,0
3,35-45,45,8,3,5,40,0
3,35-45,45,5,4,5,50,1
1,35-45,45,15,3,3,46,0
1,15-25,25,12,2,3,8,1
3,35-45,45,10,3,3,38,0
1,25-35,35,11,2,4,44,0
3,25-35,35,8,3,3,11,0
3,25-35,35,12,4,3,8,1
3,25-35,35,7,3,3,29,1
3,15-25,25,6,4,3,10,0
3,25-35,35,7,4,3,30,1
2,35-45,45,15,3,4,46,0
1,25-35,35,10,4,3,38,0
3,35-45,45,9,4,3,53,0
2,45-55,55,9,4,4,17,1
3,25-35,35,8,5,5,40,0
1,15-25,25,8,2,3,3,0
2,>55,65,8,4,4,32,0
2,25-35,35,14,5,4,16,1
1,25-35,35,7,4,3,30,1
3,45-55,55,9,4,5,17,1
2,35-45,45,12,3,3,55,0
2,35-45,45,8,5,4,12,0
3,25-35,35,8,5,3,12,1
1,25-35,35,6,3,4,57,1
3,15-25,25,6,5,4,2,1
2,35-45,45,6,4,3,20,0
3,15-25,25,7,2,3,29,0
2,35-45,45,9,5,3,1,1
1,25-35,35,9,1,3,53,1
2,35-45,45,12,5,4,4,0
1,25-35,35,7,4,3,30,1
3,35-45,45,9,4,3,22,1
3,15-25,25,10,4,3,38,1
2,35-45,45,6,4,4,20,1
1,15-25,25,8,2,3,32,1
2,35-45,45,12,5,4,55,0
3,15-25,25,8,2,3,40,0
1,15-25,25,8,4,3,33,0
2,25-35,35,8,5,4,3,0
1,25-35,35,9,4,3,35,0
3,15-25,25,11,5,4,44,0
2,15-25,25,10,4,4,38,0
2,25-35,35,9,4,4,39,1
3,25-35,35,8,3,3,12,1
2,35-45,45,6,5,4,37,0
1,15-25,25,7,3,3,30,1
3,15-25,25,7,4,2,29,1
1,15-25,25,7,2,3,49,1
3,35-45,45,6,4,3,10,1
1,35-45,45,7,4,0,30,1
3,45-55,55,14,4,4,16,0
1,15-25,25,8,2,3,12,0
1,25-35,35,7,4,3,29,1
3,35-45,45,8,5,4,40,0
1,25-35,35,11,3,3,44,0
1,15-25,25,6,2,3,20,1
1,15-25,25,7,4,3,30,1
1,35-45,45,9,5,3,17,0
2,>55,65,6,3,4,20,0
2,35-45,45,9,3,4,39,0
1,15-25,25,12,2,3,8,1
2,45-55,55,9,4,5,1,1
3,15-25,25,9,4,3,22,0
1,25-35,35,9,3,4,22,1
1,25-35,35,8,2,3,32,1
3,25-35,35,8,4,3,3,1
2,35-45,45,8,3,4,33,0
2,35-45,45,12,4,4,8,0
1,35-45,45,8,5,3,12,0
3,15-25,25,10,4,3,41,1
1,15-25,25,8,4,3,32,1
