Actual Course Duration, Group,Age,Expected Course Duration,Interest,Qualification,Course ID,Gender
2.857,15-25,25,8,5,3,52,0
12.857,15-25,25,9,5,2,17,1
4.285,15-25,25,7,4,2,29,1
6.428,15-25,25,8,4,2,11,0
26,15-25,25,6,3,3,10,0
5,25-35,35,6,5,4,20,0
6,25-35,35,7,5,3,29,1
4.285,15-25,25,14,3,3,16,1
15,15-25,25,10,4,3,38,1
12.857,15-25,25,7,5,3,30,1
8.571,15-25,25,10,4,3,38,1
4.285,15-25,25,8,5,3,3,1
4.285,15-25,25,14,4,3,16,1
12.857,15-25,25,12,4,3,8,0
4.285,15-25,25,7,4,3,29,0
7.142,15-25,25,10,5,3,38,0
0.714,15-25,25,12,4,2,54,0
14,15-25,25,9,3,2,17,0
12.857,15-25,25,6,5,3,2,0
11,15-25,25,10,5,3,38,0
8.571,25-35,35,8,4,4,3,0
2.142,15-25,25,7,5,3,30,0
4,15-25,25,10,3,3,38,0
15,25-35,35,7,5,3,30,0
17.142,15-25,25,7,5,3,30,0
10,15-25,25,7,3,3,30,0
1,15-25,25,6,3,3,10,1
52,25-35,35,10,5,3,38,0
8,15-25,25,10,5,3,38,1
4.285,15-25,25,7,4,4,30,1
4.285,25-35,35,7,5,3,30,0
0.285,25-35,35,6,5,2,15,0
8.571,15-25,25,7,3,2,29,1
4.285,15-25,25,7,4,3,29,0
2.142,15-25,25,9,5,2,39,0
4.285,35-45,45,7,5,3,30,1
3.571,15-25,25,7,3,3,29,0
1,15-25,25,14,3,3,16,1
1.714,15-25,25,7,3,3,29,0
4.285,15-25,25,10,5,3,38,1
1,15-25,25,7,5,3,29,1
12.857,15-25,25,7,5,3,49,1
4.285,25-35,35,10,3,4,38,0
2.142,35-45,45,8,3,4,12,1
12.857,25-35,35,8,4,4,3,0
7.142,15-25,25,7,4,3,49,0
1.428,15-25,25,7,3,4,29,1
4.285,25-35,35,6,4,4,34,1
2.142,15-25,25,7,3,3,30,0
12.857,15-25,25,8,4,3,11,1
28.571,35-45,45,6,3,4,10,0
14.285,15-25,25,12,3,3,8,0
28.571,35-45,45,8,4,4,3,1
25.714,15-25,25,14,4,2,16,1
14.285,25-35,35,12,4,4,8,0
25.714,35-45,45,6,3,4,20,0
42.857,25-35,35,6,2,3,20,1
8.571,15-25,25,8,3,3,3,1
22.857,<15,15,7,4,0,29,0
17.142,15-25,25,7,4,2,30,0
21.428,15-25,25,8,2,3,33,1
10,45-55,55,8,4,5,40,1
8.571,45-55,55,6,5,5,2,0
12.857,45-55,55,8,3,5,33,0
12.857,25-35,35,10,5,3,38,1
26,15-25,25,7,3,3,49,1
8.571,25-35,35,6,4,3,20,1
12,15-25,25,7,4,2,30,0
10,35-45,45,10,5,4,9,1
8,45-55,55,8,3,4,12,0
14.285,15-25,25,7,4,3,29,0
21.428,15-25,25,10,5,3,38,0
28.571,25-35,35,6,2,4,2,1
9,35-45,45,9,4,5,22,0
4.285,15-25,25,8,2,1,19,1
21.428,25-35,35,8,5,3,3,1
12,25-35,35,8,4,3,12,0
15,35-45,45,6,4,4,45,1
14.285,15-25,25,7,2,2,30,1
12.857,35-45,45,10,4,3,41,0
21.428,15-25,25,8,3,1,12,0
12.857,15-25,25,8,4,4,11,0
26,15-25,25,7,5,1,30,1
12.857,35-45,45,8,5,3,3,1
4.285,15-25,25,6,2,3,20,0
17.142,45-55,55,6,4,5,57,1
28.571,15-25,25,9,4,4,17,1
6,35-45,45,7,4,4,30,0
6.428,25-35,35,8,4,3,3,0
12.857,35-45,45,8,4,5,11,1
4.285,To,25,8,5,3,3,0
4.285,>55,65,12,5,5,8,2
4.285,To,25,8,4,3,3,0
4.285,25-35,35,7,5,3,49,0
42.857,15-25,25,7,4,3,30,0
8.571,15-25,25,8,5,3,11,0
12.857,15-25,25,7,4,3,29,1
2.142,35-45,45,7,3,3,29,1
20,35-45,45,8,4,4,3,1
1,15-25,25,8,4,3,32,0
4.285,15-25,25,6,4,3,15,1
4.285,15-25,25,7,3,3,30,1
4.285,25-35,35,9,5,3,17,1
4.285,15-25,25,9,4,3,53,0
1,15-25,25,8,4,3,3,1
2.857,15-25,25,8,4,4,3,1
12.857,35-45,45,8,5,4,11,0
14,15-25,25,9,5,3,17,1
26,15-25,25,8,4,3,12,0
8.571,15-25,25,7,5,3,30,1
4.285,35-45,45,8,4,4,11,0
0.571,45-55,55,12,4,4,8,1
12.857,15-25,25,7,5,3,30,1
4,15-25,25,8,3,2,47,0
8,<15,15,9,2,1,6,1
10,<15,15,6,1,2,10,1
7,<15,15,7,2,1,29,2
6.428,<15,15,9,4,1,6,2
7.714,<15,15,12,3,1,8,1
10,15-25,25,7,3,3,49,1
0.428,15-25,25,12,3,3,24,0
12.857,15-25,25,14,4,2,16,0
8.571,15-25,25,7,5,3,30,0
2.857,25-35,35,5,5,4,18,0
0.142,15-25,25,7,4,3,30,0
14.285,15-25,25,7,4,2,29,1
2,15-25,25,8,4,3,33,0
10,15-25,25,7,3,3,49,1
8.571,15-25,25,7,4,2,29,1
8.571,35-45,45,7,4,3,29,1
26,15-25,25,12,4,4,8,1
14.285,25-35,35,8,3,3,12,0
21.428,15-25,25,14,4,3,16,0
8.571,15-25,25,8,4,3,12,0
2.587,25-35,35,7,4,4,30,1
2.587,15-25,25,9,4,3,22,1
26,15-25,25,7,4,3,29,1
0.714,15-25,25,7,4,3,29,0
7,15-25,25,7,4,4,49,0
3,15-25,25,6,4,3,2,1
25.714,15-25,25,7,4,2,30,0
9.714,15-25,25,6,4,3,15,0
8.571,25-35,35,8,5,3,40,0
8.571,15-25,25,7,4,4,29,0
4.285,15-25,25,8,3,3,47,0
6.428,15-25,25,8,1,4,11,1
12.857,15-25,25,8,4,3,11,0
8.571,15-25,25,14,4,3,16,1
4.285,15-25,25,15,3,3,46,1
17.142,15-25,25,10,3,3,38,0
8.571,15-25,25,14,3,2,16,1
12.857,15-25,25,14,3,3,16,1
14.285,15-25,25,7,4,2,29,1
14.285,15-25,25,10,5,3,38,1
26,15-25,25,14,3,2,16,0
26,15-25,25,14,3,2,16,0
2.571,15-25,25,8,3,3,47,0
1,15-25,25,7,4,3,30,0
12.857,15-25,25,7,4,2,29,1
4.285,15-25,25,7,3,3,30,0
2,15-25,25,8,4,3,32,1
21.428,15-25,25,7,5,3,29,0
8.571,15-25,25,7,4,3,30,0
0.285,15-25,25,7,4,3,27,0
12.857,15-25,25,10,4,3,38,0
5,15-25,25,10,3,3,38,0
3,15-25,25,7,4,3,30,0
4.285,15-25,25,7,4,3,30,0
4.285,15-25,25,14,4,3,16,0
8.571,15-25,25,7,3,3,29,1
1.428,15-25,25,14,1,3,16,0
6.428,15-25,25,14,3,2,16,0
2.142,15-25,25,8,4,3,12,0
10,15-25,25,8,3,3,12,0
4.285,15-25,25,10,3,3,38,1
3.571,35-45,45,8,5,3,12,0
10,15-25,25,9,4,3,22,0
21.428,15-25,25,8,4,3,12,0
5.142,15-25,25,10,5,3,38,0
4.285,15-25,25,8,4,3,12,0
2.857,15-25,25,10,4,3,38,0
2,35-45,45,5,4,4,18,0
17.142,15-25,25,8,4,3,11,0
8.571,15-25,25,8,4,3,12,0
12.857,15-25,25,8,5,3,3,0
52,15-25,25,10,5,3,38,0
10,25-35,35,6,4,4,57,0
8,35-45,45,10,5,5,9,1
17.142,15-25,25,7,4,2,30,0
7.142,25-35,35,8,4,3,11,1
12.857,25-35,35,8,5,3,32,0
12.957,45-55,55,9,5,5,17,1
19.285,25-35,35,7,4,1,29,0
34.285,15-25,25,7,5,0,30,1
17.142,25-35,35,13,5,4,21,0
17.428,25-35,35,9,4,3,1,1
8,15-25,25,12,4,5,4,1
17.428,15-25,25,6,4,3,20,1
9,25-35,35,8,3,4,11,0
17.142,35-45,45,8,5,4,3,1
4.285,35-45,45,12,3,4,8,1
21.428,35-45,45,8,4,5,3,0
14.285,25-35,35,8,4,3,11,0
4.285,15-25,25,7,4,2,29,0
12.857,15-25,25,7,4,2,30,0
26,15-25,25,9,2,3,17,1
17.142,25-35,35,8,4,3,40,1
17.142,15-25,25,10,4,4,9,0
10,25-35,35,10,3,3,41,0
11.428,25-35,35,8,4,3,3,1
17.142,25-35,35,11,4,3,44,0
12.857,45-55,55,10,5,5,41,0
14.285,35-45,45,9,5,5,53,0
17.142,35-45,45,8,3,5,40,0
12.857,35-45,45,5,4,5,50,1
12.857,35-45,45,15,3,3,46,0
26,15-25,25,12,2,3,8,1
17.142,35-45,45,10,3,3,38,0
8.571,25-35,35,8,3,3,11,0
17.142,25-35,35,12,4,3,8,1
4.285,25-35,35,7,3,3,29,1
8,15-25,25,6,4,3,10,0
12.857,25-35,35,7,4,3,30,1
6,35-45,45,15,3,4,46,0
30,25-35,35,10,4,3,38,0
12.857,35-45,45,9,4,3,53,0
17.142,45-55,55,9,4,4,17,1
9,25-35,35,8,5,5,40,0
5,15-25,25,8,2,3,3,0
10.285,>55,65,8,4,4,32,0
8.571,25-35,35,14,5,4,16,1
4.285,25-35,35,7,4,3,30,1
28.571,45-55,55,9,4,5,17,1
4.285,35-45,45,12,3,3,55,0
8.571,35-45,45,8,5,4,12,0
28.571,25-35,35,8,5,3,12,1
14.285,25-35,35,6,3,4,57,1
8.571,15-25,25,6,5,4,2,1
2.857,35-45,45,6,4,3,20,0
4.285,15-25,25,7,2,3,29,0
7.142,35-45,45,9,5,3,1,1
4.285,25-35,35,9,1,3,53,1
12.857,35-45,45,12,5,4,4,0
4.285,25-35,35,7,4,3,30,1
10,35-45,45,9,4,3,22,1
17.142,15-25,25,10,4,3,38,1
4.285,35-45,45,6,4,4,20,1
2.142,15-25,25,8,2,3,32,1
5,35-45,45,12,5,4,55,0
21.428,15-25,25,8,2,3,40,0
6,15-25,25,8,4,3,33,0
17.142,25-35,35,8,5,4,3,0
15.714,15-25,25,11,5,4,44,0
8.571,15-25,25,10,4,4,38,0
17.142,25-35,35,9,4,4,39,1
8.571,25-35,35,8,3,3,12,1
4.285,35-45,45,6,5,4,37,0
2,15-25,25,7,3,3,30,1
21.428,15-25,25,7,4,2,29,1
2.142,15-25,25,7,2,3,49,1
26,35-45,45,6,4,3,10,1
21.428,35-45,45,7,4,0,30,1
12.857,45-55,55,14,4,4,16,0
8.571,15-25,25,8,2,3,12,0
8.571,25-35,35,7,4,3,29,1
12.857,35-45,45,8,5,4,40,0
8,25-35,35,11,3,3,44,0
8.571,15-25,25,6,2,3,20,1
4.285,15-25,25,7,4,3,30,1
8.571,35-45,45,9,5,3,17,0
3,>55,65,6,3,4,20,0
8.571,15-25,25,12,2,3,8,1
3,45-55,55,9,4,5,1,1
8.571,15-25,25,9,4,3,22,0
7.142,25-35,35,9,3,4,22,1
2.142,25-35,35,8,2,3,32,1
17.142,25-35,35,8,4,3,3,1
5.714,35-45,45,8,3,4,33,0
17.142,35-45,45,12,4,4,8,0
3.571,35-45,45,8,5,3,12,0
2.142,15-25,25,10,4,3,41,1
2,15-25,25,8,4,3,32,1
